O=CNCCc1ccccc1
C1CCCC1
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])C(C)C)C([O-])=O
O=C1OC2=C(C=CC=C2)C=C1
OC(=O)C1=CC=CC=C1O
C1CCC2CCCC2C1
C1OC2=C(O1)C=CC=C2
CCNC
ClC1=CC=CC=C1Cl
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C
FC(F)(F)C1=CC=CC=C1
N1C=CC2=C1N=CC=C2
N1N=CC2=CC=CC=C12
NC1=C2N=CNC2=NC=N1
NC1=CC=NC(N)=N1
O=C1NC2=NC=NC=C2C=C1
OCCCC1=CNC2=CC=CC=C12
O=CNC1=NC=CC=C1
N1C=CC=N1
ONC
C1CCCC1.C2=CC=CC=C2
C1=CN(C=N1)C2=CC=CC=C2
CBr
CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)-c5cccnc5)c3
CN(C(C)=O)C1=CC=CC=C1
C[S]
NC1CCCCC1
NC1=CC=CN=C1N
OC1CCCNC1
O=C1NC2=CC=CC=C2\C1=C\C3=CC=CN3
O=C1OCCN1C2=CC=CC=C2
OC(=O)C1=CC=CC=C1
CCNCCC1=CC=CC=C1
O=C1NCCCN1
C1=CC2=C(C=C1)C=NC=C2
C1=CC2=C(C=C1)N=CC=C2
N=C=S
C1CC2=CC=CC=C2O1
C1COC2=CC=CC=C2C1
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
CCCC1=CC=CC=C1
CCl
CC(=O)NC1=CC=CC=C1
N1N=CC2=C1C=CC=C2
*NC
SC1=NC=CC=C1
CNCC
O=C1NCCCCN1
C1C2=CC=CC=C2C3=C1C=NN3
C1CC1
[H]N
O1C=CC2=CC=CC=C12
OCC
C1CCCCC1
C1CC2=CC=CC=C2C1
C1=CN=CN=C1
CN1C=CC=N1
O=C1NC2=CC=CN=C2N1
N1C=NC2=C1C=CC=C2
O=[N+](O)c1ccccc1
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
CCCC
N1C=CC=C1.C2=CC=CC=C2
N1C=NC2=CC=CC=C12
O=C
OC(=O)C1=C(O)C=CC=C1
NC1=NC=CC=N1
O=C1NC2=CC=CC=C2N1
N1C=CC2=CC=CC=C12
S1C=NC2=CC=CC=C12
CCC
FC
CN1C=CC2=C1C=CC=C2
N
C1CNCCN1
C1CCC2=CC=CC=C2C1
C1CCNC1
N1C=CC2=C1C=CC=C2
C
BrC1=CC=CC=C1
CI
OC
S1C2=CC=CC=C2N=C1C1=CC=CC=C1
CN
[H]C(=C([H])C1=CC(O)=CC(O)=C1)C2=CC=C(O)C=C2
O=S
N1C=CC=C1.C2=CC3=C(C=C2)C=CC=C3
[H]CN
C1NCC2=C1C=CC3=C2C4=CC=CC=C4N3
N1C=CC=C1
OC1=CC=C(C=CC2=CC(O)=CC(O)=C2)C=C1
C1=CC=NC=C1
CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O
CNC
NC
C1=CC=CC=C1
C1=CC2=C(C=C1)C=CC=C2
O=C1OC2=CC=CC=C2C=C1
CC
CC(C)C1(C)SC(Nc2ccccc2C(F)(F)F)=NC1=O
